features.customer_portal_description,User-facing portal where customers can manage their subscriptions and billing details.,고객이 구독과 결제 정보를 관리할 수 있는 사용자 대면 포털입니다.
features.customer_portal_timeSaved,5-7,5-7
features.i18n_title,Multi-Language Support,다국어 지원
features.i18n_description,i18next and react-i18next integration for translating your application into any language.,애플리케이션을 어떤 언어로든 번역할 수 있는 i18next 및 react-i18next 통합입니다.
features.i18n_timeSaved,4-6,4-6
features.translation_tools_title,Translation Tools,번역 도구
features.translation_tools_description,Parsing scripts to convert Excel translation files to JSON format for i18next.,Excel 번역 파일을 i18next용 JSON 형식으로 변환하는 파싱 스크립트입니다.
features.translation_tools_timeSaved,3-5,3-5
features.database_title,Database Setup,데이터베이스 설정
features.database_description,Quick database configuration with Drizzle ORM for type-safe database operations.,타입 안전한 데이터베이스 작업을 위한 Drizzle ORM을 사용한 빠른 데이터베이스 구성입니다.
features.database_timeSaved,3-5,3-5
features.migration_title,Migration System,마이그레이션 시스템
features.migration_description,Database schema management and migration tools for evolving your data model.,데이터 모델을 발전시키기 위한 데이터베이스 스키마 관리 및 마이그레이션 도구입니다.
features.migration_timeSaved,3-4,3-4
features.serverless_title,Serverless Architecture,서버리스 아키텍처
features.serverless_description,"Compatible with serverless deployments for modern, scalable hosting options.",최신 확장 가능한 호스팅 옵션을 위한 서버리스 배포와 호환됩니다.
features.serverless_timeSaved,3-5,3-5
features.opensource_title,Open Source Codebase,오픈 소스 코드베이스
features.opensource_description,Full access to all code with MIT license for complete customization freedom.,완전한 커스터마이징 자유를 위한 MIT 라이선스의 모든 코드에 대한 전체 접근 권한입니다.
features.time_savings_title,Development Time Savings,개발 시간 절약
features.time_savings_description,Save approximately 3 weeks of development time to focus on your unique business logic.,고유한 비즈니스 로직에 집중할 수 있도록 약 3주의 개발 시간을 절약합니다.
features.time_savings_timeSaved,100+,100+
common.hours,hours save,시간 절약
,,
pricing_main.title,Pricing,가격 정책
pricing_main.description,SaaS-starter-ko is free and open source. You can use  it as a starting point for your own project.,SaaS-starter-ko는 무료 오픈 소스입니다. 당신의 프로젝트 시작점으로 활용하세요.
pricing_main.community_title,Community,커뮤니티
pricing_main.community_description,For individuals and small teams,개인 및 소규모 팀을 위한
pricing_main.community_price,$0 ,₩0
pricing_main.community_period,/forever,/영원히
pricing_main.community_features_core,All core features,모든 핵심 기능
pricing_main.community_features_license,MIT License,MIT 라이선스
pricing_main.community_features_support,GitHub issues support,GitHub 이슈 지원
pricing_main.community_button,Star on GitHub,GitHub에 스타 주기
,,
pricing_main.supporter_title,Supporter,후원자
pricing_main.supporter_description,Support the development,개발 지원하기
pricing_main.supporter_price,Buy me,커피 한잔
pricing_main.supporter_period,a coffee,사주기
pricing_main.supporter_badge,Recommended,추천
pricing_main.supporter_features_all,All Community features,모든 커뮤니티 기능
pricing_main.supporter_features_karma,Good karma,선행…
pricing_main.supporter_features_contribute,Contribute to future features,추후 기능에 기여
pricing_main.supporter_button,Buy me a coffee,커피 사주기
,,
pricing_main.contributor_title,Contributor,기여자
pricing_main.contributor_description,Get involved in the project,프로젝트에 참여하기
pricing_main.contributor_price,Share,코드
pricing_main.contributor_period,your code,공유하기
pricing_main.contributor_features_all,All Community features,모든 커뮤니티 기능
pricing_main.contributor_features_credits,Your name in Contributor,Contributor에 이름 등재
pricing_main.contributor_features_future,Help shape the future,미래 방향성에 기여
pricing_main.contributor_button,Fork & Contribute,Fork 및 기여하기
pricing_main.value_time,By using this starter kit, you're saving approximately
pricing_main.value_hours,of development time.,의 개발 시간을 절약할 수 있습니다.
pricing_main.value_cost,That's about,이는 약
pricing_main.value_money,in developer costs!,의 개발 비용에 해당합니다!
,,
saved.title,Development Time Saved,절약되는 개발 시간
saved.hours,hours,시간 이상
saved.subtitle_1,Save over 3 weeks of development time with saas-starter-ko,saas-starter-ko를 사용하여 3주 이상의 개발 시간을 절약
saved.subtitle_2,Focus more on core business logic and creating customer value.,핵심 비즈니스 로직과 고객 가치 창출에 더 집중하세요.
saved.features,Main feature,핵심 기능
saved.time,Development time,개발 시간
saved.open_source,Open Source,오픈소스
,,
setting.title,Team Settings,팀 설정
setting.subscription,Team Subscription,팀 구독
setting.current_plan,Current Plan,현재 플랜
setting.free,Free,무료
setting.monthly,Billed monthly,월간 결제
setting.trial,Trial period,체험 기간
setting.no_subscription,No active subscription,활성화된 구독 없음
setting.manage,Manage Subscription,구독 관리
setting.members,Team Members,팀 멤버
setting.removing,Removing…,삭제 중...
setting.remove,Remove,삭제
,,
team.title,Invite Team Member,팀 멤버 초대하기
team.email,Email,이메일
team.role,Role,역할
team.member,Member,멤버
team.owner,Owner,소유주
team.invite,Invite Member,팀 초대
team.inviting,Inviting…,초대중…
team.error,You must be a team owner to invite new members.,초대 하기 위해서는 팀 소유주여야 합니다
,,
invite_response.user_not_in_team,User is not part of a team,사용자가 팀에 속해있지 않습니다
invite_response.already_member,User is already a member of this team,이미 팀에 속한 멤버입니다
invite_response.invitation_exists,An invitation has already been sent to this email,이 이메일로 이미 초대장이 발송되었습니다
invite_response.success,Invitation sent successfully,초대장이 성공적으로 발송되었습니다
,,
general.title,General Settings,기본 설정
general.card_title,Account Information,계정 정보
general.name,name,이름
general.email,email,이메일
general.submit,Save Changes,변경사항 저장
general.saving,saving…,저장중…
general.save_changes,Save Changes,저장 완료
general.account_updated,Account updated successfully.,성공적으로 저장되었습니다.
,,
activity.title,Activity Log,활동 로그
activity.card_title,Recent Activity,최근 활동
activity.sign_up,You signed up,회원가입 완료
activity.sign_in,You signed in,로그인 완료
activity.sign_out,You signed out,로그아웃 완료
activity.update_password,You changed your password,비밀번호 변경 완료
activity.delete_account,You deleted your account,계정 삭제 완료
activity.update_account,You updated your account,계정 정보 업데이트 완료
activity.create_team,You created a new team,새 팀 생성 완료
activity.remove_team_member,You removed a team member,팀 멤버 제거 완료
activity.invite_team_member,You invited a team member,팀 멤버 초대 완료
activity.accept_invitation,You accepted an invitation,초대 수락 완료
activity.unknown,Unknown action occurred,알 수 없는 작업이 발생했습니다
activity.no_activity,No activity yet,아직 활동이 없습니다.
activity.when_you_perform_actions,"When you perform actions like signing in or updating your                account, they'll appear here.","로그인 또는 업데이트 시, 이곳에 표시됩니다."
activity.just_now,just now,방금
activity.minutes_ago,{{count}} minutes ago,{{count}}분 전
activity.hours_ago,{{count}} hours ago,{{count}}시간 전
activity.days_ago,{{count}} days ago,{{count}}일 전
,,
security.password_incorrect,Current password is incorrect.,유효하지 않은 계정 정보입니다. 다시 시도해주세요
security.new_password_must_be_different,New password must be different from the current password.,기존 비밀번호와 다르게 설정해주세요
security.password_updated,Password updated successfully.,성공적으로 업데이트 되었습니다.
security.title,Security Settings,보안 설정
security.card_title_password,Password,비밀번호
security.card_title_delete,Delete Account,계정 삭제
security.current_password,Current Password,현재 비밀번호
security.new_password,New Password,새 비밀번호
security.new_password_confirm,Confirm New Password,비밀번호 확인
security.password_submit,Update Password,비밀번호 업데이트
security.delete_account_warning,Account deletion is non-reversable. Please proceed with caution.,계정 삭제는 되돌릴 수 없습니다. 주의를 요합니다.
security.delete_account_confirm,Confirm Password,비밀번호 확인
security.delete_account_submit,Delete Account,계정 삭제
security.delete_account_password_error,Incorrect password. Account deletion failed.,비밀번호가 틀립니다. 계정 삭제에 실패했습니다.
security.updating,Updating…,변경중…
security.update_password,Update Password,비밀번호 변경 완료
security.deleting,Deleting…,삭제중…
security.delete_account,Delete Account,계정 삭제 완료
security.oauth_password,No password set yet.,아직 비밀번호가 설정되지 않았습니다.
security.customer_not_found,Customer not found,고객을 찾지 못했습니다.
security.customer_has_subscription,The plan that the customer is subscribing to exists. Please cancel the subscription and proceed.,고객이 구독중인 플랜이 존재합니다. 구독을 취소 후 진행해주세요.
,,
pricing.Base,Base,기본
pricing.Plus,Plus,플러스
pricing.trial,with {{trialDays}} {{unit}} free trial,{{trialDays}}일의 무료 체험판
pricing.unit_day,day,일
pricing.unit_week,week,주
pricing.unit_month,month,달
pricing.unit_year,year,년
,,
pricing.price,per user / {{interval}} {{unit}},유저 당 / {{interval}} {{unit}}
pricing.unlimited_usage,Unlimited Usage,무제한 사용량
pricing.unlimited_members,Unlimited Workspace Members,무제한 멤버
pricing.email_support,Email Support,이메일 지원
pricing.base_plus,"Everything in Base, and:",기본 플랜의 모든것과
pricing.new_feature_plus,Early Access to New Features,새 기능 얼리 액세스
pricing.CS_plus,24/7 Support + Slack Access,24/7 고객센터 + Slack 액세스
pricing.button,Get Started,지금 시작하기
pricing.loading,Loading…,로딩중…
,,
header.pricing,pricing,요금제
header.signup,signup,회원가입
header.signout,sign-out,로그아웃
header.dashboard,dashboard,대시보드
header.settings,settings,세팅
header.darkMode,DarkMode,다크 모드
header.language,Language,언어
